coursecode,coursename,credits,gaf,courselevel,department
ALS21,Portfolio development 1,1,1,H,Visual Arts
AMS11,Ceramics,1,1,H,Visual Arts
ANS11,Studio art,1,1,H,Visual Arts
ANS81,Studio art 1 t1,1,1,H,Visual Arts
ANS83,Studio art 2 t1,1,1,H,Visual Arts
ANS85,Studio art 3 t1,1,1,H,Visual Arts
ANS87X,Ap studio art - 2d,1,1,H,Visual Arts
AQS11,Talent gr. 9,1,1,H,Visual Arts
AQS11QA,Art appreciation,1,1,H,Visual Arts
AQS11QM,Mural design,1,1,H,Visual Arts
AQS11QZ,Art zine,1,1,H,Visual Arts
AQS21,Art of storytelling t1,1,1,H,Visual Arts
AQS21QM,Mural design t1,1,1,H,Visual Arts
ATS11,Printmaking,1,1,H,Visual Arts
ATS21,Intro to screen printing,1,1,H,Visual Arts
AXEAW,Visual art comp exam,0,0,H,Visual Arts
AYSM6,Grade 6 art,1,1,6,Visual Arts
AYSM7,Grade 7 art,1,1,7,Visual Arts
AYSM8,Grade 8 art,1,1,8,Visual Arts
BFS21,Financial literacy t1,1,1,H,Business
CGS21,Intro to theatre t1,1,1,H,Theater
CQS21,Theater elective t1,1,1,H,Theater
CQS21QA,Advanced theatre studies t1,1,1,H,Theater
CQS21QM,Intermediate theatre studies t1,1,1,H,Theater
CQS81,Intro to theater t1,1,1,H,Theater
CQS83,Intermediate theater 1 t1,1,1,H,Theater
CQS85,Intermediate theater ii t1,1,1,H,Theater
CQS87,Theater production t1,1,1,H,Theater
CRS21,Theatre production t1,1,1,H,Theater
CRS21QP,Play production t1,1,1,H,Theater
CRSM6,Grade 6 theater,1,1,6,Theater
CRSM7,Grade 7 theater,1,1,7,Theater
CRSM8,Grade 8 theater,1,1,8,Theater
CXEAW,Theater comp exam,0,0,H,Theater
DCS21,Choreography t1,1,1,H,Dance
DHS21,Dance history t1,1,1,H,Dance
DQS81,Dance for beginners t1,1,1,H,Dance
DQS83,Intermediate dance t1,1,1,H,Dance
DQS85,Intermediate/advanced dance t1,1,1,H,Dance
DQS87,Advanced dance t1,1,1,H,Dance
DRSM6,Grade 6 dance,1,1,6,Dance
DRSM7,Grade 7 dance,1,1,7,Dance
DRSM8,Grade 8 dance,1,1,8,Dance
DXEAW,Dance comp exam,0,0,H,Dance
EAS21,Strategic reading inventory gr. 9,0,1,H,English/ENL
EENM6,Core ela 6,1,1,6,English/ENL
EENM7,Core ela 7,1,1,7,English/ENL
EENM8,Core ela 8,1,1,8,English/ENL
EES81,English 9 1 of 2,1,1,H,English/ENL
EES81QNX,English 9 t1 of 2,0,1,H,English/ENL
EES81QX,English 9 1 of 2,1,1,H,English/ENL
EES81QXK,English 9 1 of 2,1,1,H,English/ENL
EES82,English 9 2 of 2,1,1,H,English/ENL
EES82QNX,English 9 t2 of 2,0,1,H,English/ENL
EES82QX,English 9 2 of 2,1,1,H,English/ENL
EES83,English 10 1 of 2,1,1,H,English/ENL
EES83QNX,English 10 t1 of 2,0,1,H,English/ENL
EES83QX,English 10 1 of 2,1,1,H,English/ENL
EES84,English 10 2 of 2,1,1,H,English/ENL
EES84QNX,English 10 t2 of 2,0,1,H,English/ENL
EES84QX,English 10 2 of 2,1,1,H,English/ENL
EES85,English 11 1 of 2,1,1,H,English/ENL
EES85QX,English 11 1 of 2,1,1,H,English/ENL
EES85X,Ap english language t1 of 2,1,1,H,English/ENL
EES86,English 11 2 of 2,1,1,H,English/ENL
EES86QNX,English 11 2 0f 2,0,1,H,English/ENL
EES86QX,English 11 2 of 2,1,1,H,English/ENL
EES87,English 12 1 of 2,1,1,H,English/ENL
EES87X,Ap english literature & composition t1,1.1,1,H,English/ENL
EES88,English 12 2 of 2,1,1,H,English/ENL
EESM6,Core english 6,1,1,6,English/ENL
EESM6QH,Humanities 6,1,1,6,English/ENL
