studentId,sectionId
200000001,136
200000002,122
200000003,105
200000004,133
200000005,106
200000006,104
200000007,113
200000008,100
200000009,126
200000010,122
200000011,100
200000012,129
200000013,130
200000014,116
200000015,117
200000016,130
200000017,114
200000018,111
200000019,100
200000020,109
200000021,112
200000022,138
200000023,129
200000024,130
200000025,103
200000026,106
200000027,138
200000028,139
200000029,132
200000030,112
200000031,113
200000032,133
200000033,123
200000034,136
200000035,130
200000036,139
200000037,111
200000038,117
200000039,113
200000040,101
200000041,115
200000042,121
200000043,121
200000044,116
200000045,115
200000046,103
200000047,116
200000048,112
200000049,123
200000050,117
200000051,104
200000052,102
200000053,107
200000054,120
200000055,115
200000056,121
200000057,116
200000058,130
200000059,134
200000060,116
200000061,120
200000062,125
200000063,125
200000064,137
200000065,135
200000066,103
200000067,134
200000068,122
200000069,127
200000070,139
200000071,104
200000072,100
200000073,128
200000074,102
200000075,131
200000076,139
200000077,125
200000078,134
200000079,134
200000080,129
200000081,108
200000082,135
200000083,100
200000084,137
200000085,123
200000086,129
200000087,107
200000088,114
200000089,101
200000090,137
200000091,112
200000092,139
200000093,128
200000094,101
200000095,113
200000096,105
200000097,121
200000098,105
200000099,114
200000100,124
200000101,124
200000102,105
200000103,106
200000104,113
200000105,119
200000106,110
200000107,131
200000108,134
200000109,120
200000110,128
200000111,103
200000112,120
200000113,118
200000114,119
200000115,122
200000116,134
200000117,125
200000118,128
200000119,112
200000120,104
200000121,103
200000122,139
200000123,110
200000124,139
200000125,123
200000126,136
200000127,138
200000128,106
200000129,104
200000130,129
200000131,109
200000132,133
200000133,106
200000134,106
200000135,128
200000136,131
200000137,139
200000138,122
200000139,116
200000140,110
200000141,101
200000142,126
200000143,101
200000144,116
200000145,103
200000146,119
200000147,107
200000148,115
200000149,126
200000150,124
200000151,118
200000152,114
200000153,126
200000154,107
200000155,105
200000156,137
200000157,112
200000158,139
200000159,120
200000160,116
200000161,112
200000162,122
200000163,130
200000164,112
200000165,125
200000166,100
200000167,108
200000168,111
200000169,116
200000170,117
200000001,133
200000002,100
200000003,131
200000004,137
200000005,114
200000006,123
